date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2024-09-27,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3703.6849,0.08011722018683365,0.044668600332991026,0.0
2024-09-30,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,4017.8545,0.17173948400825356,0.08482622266273232,0.0
2024-10-08,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,4256.0962,0.24121865669289133,0.05929575100342732,0.0
2024-10-09,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3955.9839,0.15369596727083046,-0.07051351423870533,-0.07051351423870533
2024-10-10,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3997.7879,0.16588739864035373,0.010567282642378606,-0.060691367831394394
2024-10-11,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3887.167,0.13362667932198913,-0.0276705274934671,-0.08668253316266672
2024-10-14,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3961.3424,0.15525868339832027,0.01908212330471004,-0.0692544966441313
2024-10-15,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3855.9949,0.12453586222807655,-0.026593888980664726,-0.09400663922963015
2024-10-16,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3831.589,0.11741829321885588,-0.0063293392841365925,-0.0997409785991209
2024-10-17,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3788.2217,0.10477095177709117,-0.011318359041118442,-0.10993043343334197
2024-10-18,0.0,10000000.0,10000000.0,10000000.0,1.0,0.0,0.0,0.0,0,3925.234,0.14472827768443408,0.036167972956809846,-0.0777384214200798
2024-10-21,9999320.0,-319.9320000000298,9999000.068,10000000.0,0.9999000068,-0.00009999319999998146,-0.00009999319999998146,-0.00009999319999998146,-1,3935.1974,0.14763393521259194,0.0025382945322496298,-0.07539744989786645
2024-10-22,10997010.0,-319.9320000000298,10996690.068,10000000.0,1.0996690068,0.0996690067999999,0.09977897721922475,0.0,1,3957.7755,0.15421845718666716,0.005737475837933825,-0.07009256510696349
2024-10-23,0.0,11801449.06076187,11801449.06076187,10000000.0,1.180144906076187,0.18014490607618705,0.07318192908825295,0.0,1,3973.2089,0.1587193479363178,0.003899513754633155,-0.06646637827406243
2024-10-24,0.0,11801449.06076187,11801449.06076187,10000000.0,1.180144906076187,0.18014490607618705,0.0,0.0,0,3928.8334,0.14577798197281466,-0.011168680307748202,-0.07689271685165389
2024-10-25,0.0,11801449.06076187,11801449.06076187,10000000.0,1.180144906076187,0.18014490607618705,0.0,0.0,0,3956.421,0.15382344011198468,0.007021829940663693,-0.07041081449239806
2024-10-28,12704356.0,-2211.3172511272132,12702144.682748873,10000000.0,1.2702144682748873,0.27021446827488727,0.07632076513228246,0.0,1,3964.1569,0.15607948484290746,0.001955277256894483,-0.06859320989971984
2024-10-29,0.0,13561439.819582675,13561439.819582675,10000000.0,1.3561439819582675,0.35614398195826746,0.06764961022691184,0.0,1,3924.649,0.14455767230334193,-0.009966280598025845,-0.07787587132076579
2024-10-30,0.0,13561439.819582675,13561439.819582675,10000000.0,1.3561439819582675,0.35614398195826746,0.0,0.0,0,3889.4487,0.1342920986348739,-0.008969031370703484,-0.08614643155857238
2024-10-31,0.0,13561439.819582675,13561439.819582675,10000000.0,1.3561439819582675,0.35614398195826746,0.0,0.0,0,3891.0396,0.13475605778150523,0.0004090296910201907,-0.08577263831583504
2024-11-01,0.0,13561439.819582675,13561439.819582675,10000000.0,1.3561439819582675,0.35614398195826746,0.0,0.0,0,3890.0203,0.13445879613202316,-0.00026196083946306015,-0.08601213008296194
2024-11-04,14029141.0,-2463.554229233414,14026677.445770767,10000000.0,1.4026677445770768,0.40266774457707677,0.03430591680363404,0.0,1,3944.7619,0.15042326028516406,0.014072317308986726,-0.07315020276092443
2024-11-05,13505037.0,-2463.554229233414,13502573.445770767,10000000.0,1.3502573445770767,0.3502573445770767,-0.03736480018352637,-0.03736480018352639,-1,4044.5725,0.1795313379775132,0.025302059422141587,-0.04969899411578149
2024-11-06,12391316.0,-2463.554229233414,12388852.445770767,10000000.0,1.2388852445770766,0.2388852445770766,-0.08248212864554623,-0.1167650005735199,-1,4024.2831,0.17361427674823338,-0.005016451058795446,-0.05446613260292377
2024-11-07,12410034.0,-2463.554229233414,12407570.445770767,10000000.0,1.2407570445770766,0.24075704457707658,0.0015108743995405024,-0.11543054342410819,1,4145.6952,0.20902206749982954,0.030169870504388685,-0.02593949826604014
2024-11-08,0.0,12564160.029619029,12564160.029619029,10000000.0,1.256416002961903,0.2564160029619029,0.01262048718825839,-0.10426684593026747,1,4104.047,0.19687607257197093,-0.010046131707898032,-0.035725038357920624
2024-11-11,12593196.0,-2442.914021871984,12590753.085978128,10000000.0,1.2590753085978128,0.2590753085978128,0.0021165805192235494,-0.10237095458594081,1,4131.1312,0.20477472259346308,0.006599388359831204,-0.02936141340038323
